,Phylum,Class,Order,Family,Genus,Species
otu438,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
otu4380,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Mucilaginibacter,s:Mucilaginibacter_sp._BJC16-A13
otu4381,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
otu4382,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Arcicella,
otu4383,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Dysgonomonas,
otu4384,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,
otu4385,p:Proteobacteria,c:Gammaproteobacteria,o:Methylococcales,,,
otu4386,p:Proteobacteria,c:Deltaproteobacteria,o:Syntrophobacterales,f:Syntrophaceae,,
otu4387,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae,g:Sorangium,
otu4388,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Aquincola,s:Ideonella_sp._K3R-14
otu4389,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Cystobacteraceae,g:Anaeromyxobacter,
otu439,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Hydrotalea,
otu4390,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,
otu4391,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
